subfolder,mode,affinity_kcal_mol,clust_rmsd,ref_rmsd,clust_size,rmsd_avg,best_rmsd,energy_avg,best_run
1T8K_ll37,1,-49.1,0,999,145,999.0 9,99,-45.6,4981
1T8K_ll37,2,-48.6,27.7,999,129,999.0 9,99,-46.1,17611
1T8K_ll37,3,-48.4,25.2,999,139,999.0 9,99,-45.5,9949
1T8K_ll37,4,-47,26.3,999,99,999.0 9,99,-44.3,14011
1T8K_ll37,5,-46.9,14.3,999,132,999.0 9,99,-44.1,18104
1T8K_ll37,6,-46.8,14.5,999,105,999.0 9,99,-44.4,2930
1T8K_ll37,7,-46.5,8.3,999,122,999.0 9,99,-43.7,6870
1T8K_ll37,8,-46.3,17.8,999,79,999.0 9,99,-44.6,19740
1T8K_ll37,9,-46.2,15.8,999,120,999.0 9,99,-43.9,16062
1T8K_ll37,10,-46.1,26.2,999,91,999.0 9,99,-44.4,12265
1T8K_ll37,11,-45.8,15.5,999,84,999.0 9,99,-44.4,19533
1T8K_ll37,12,-45.7,15.2,999,147,999.0 9,99,-43.2,14929
1T8K_ll37,13,-45.7,15.8,999,118,999.0 9,99,-43.5,5236
1T8K_ll37,14,-45.7,13.9,999,126,999.0 9,99,-43,13362
1T8K_ll37,15,-45.6,26.4,999,109,999.0 9,99,-43.4,12904
1T8K_ll37,16,-45.6,29.9,999,92,999.0 9,99,-43.3,19980
1T8K_ll37,17,-45.3,26,999,113,999.0 9,99,-43.2,5465
1T8K_ll37,18,-45.1,17.4,999,75,999.0 9,99,-43.2,766
1T8K_ll37,19,-45.1,29.8,999,97,999.0 9,99,-43,11562
1T8K_ll37,20,-44.7,26.6,999,70,999.0 9,99,-42.5,2675
1T8K_ll37,21,-44.7,24.6,999,123,999.0 9,99,-42.4,18576
1T8K_ll37,22,-44.7,29.5,999,134,999.0 9,99,-42.4,4516
1T8K_ll37,23,-44.6,16.1,999,103,999.0 9,99,-42.7,14251
1T8K_ll37,24,-44.4,29.7,999,110,999.0 9,99,-42.7,17095
1T8K_ll37,25,-44.3,16.9,999,108,999.0 9,99,-42.2,18339
1T8K_ll37,26,-44.3,9.6,999,87,999.0 9,99,-42.6,10173
1T8K_ll37,27,-44.2,26.7,999,105,999.0 9,99,-42.1,11798
1T8K_ll37,28,-44.1,29.7,999,99,999.0 9,99,-41.9,11360
1T8K_ll37,29,-44,15.3,999,105,999.0 9,99,-42.1,14465
1T8K_ll37,30,-43.9,15.8,999,87,999.0 9,99,-42,404
1T8K_ll37,31,-43.9,7.7,999,83,999.0 9,99,-42.2,4026
1T8K_ll37,32,-43.9,7.3,999,89,999.0 9,99,-40.6,13546
1T8K_ll37,33,-43.8,17.5,999,133,999.0 9,99,-41.8,10857
1T8K_ll37,34,-43.8,16.3,999,93,999.0 9,99,-41.6,219
1T8K_ll37,35,-43.6,26.4,999,84,999.0 9,99,-41.7,15817
1T8K_ll37,36,-43.4,29.3,999,107,999.0 9,99,-40.8,8846
